 
1601,117,2026-03-08,7000.00,Credit Card,YES,NO
1602,117,2026-04-08,1394.00,Credit Card,NO,NO
1603,117,2026-05-08,1394.00,Credit Card,NO,NO
1604,117,2026-06-08,1394.00,Credit Card,NO,NO
1605,120,2026-05-02,60569.00,Cash,NO,YES
1606,122,2026-04-05,32238.00,Cash,NO,YES
1607,123,2026-06-18,22999.00,Cash,NO,YES
1608,101,2026-01-10,1159.00,Credit Card,NO,NO
1609,101,2026-02-10,1159.00,Credit Card,NO,NO
1610,101,2026-03-10,1159.00,Credit Card,NO,NO
1611,114,2026-04-16,4000.00,Credit Card,YES,NO
1612,114,2026-05-16,1889.00,Credit Card,NO,NO
1613,114,2026-06-16,1889.00,Credit Card,NO,NO
1614,114,2026-07-16,1889.00,Credit Card,NO,NO
1615,112,2026-04-10,100000.00,Debit Card,YES,NO
1616,112,2026-05-10,10663.00,Debit Card,NO,NO
1617,112,2026-06-10,10663.00,Debit Card,NO,NO
1618,112,2026-07-10,10663.00,Debit Card,NO,NO
1619,112,2026-08-10,10663.00,Debit Card,NO,NO
1620,105,2026-05-13,986.00,Credit Card,NO,NO
1621,105,2026-06-13,986.00,Credit Card,NO,NO
1622,124,2026-03-08,10524.00,Cash,NO,YES
1623,117,2026-07-08,1394.00,Credit Card,NO,NO
1624,118,2026-02-03,33900.00,Cash,NO,YES
1625,109,2026-12-24,3000.00,Credit Card,YES,NO
1626,102,2026-05-12,10000.00,Debit Card,YES,NO
1627,103,2026-08-23,5000.00,Credit Card,YES,NO
1628,103,2026-09-23,1534.00,Credit Card,NO,NO
1629,104,2026-10-10,856.00,Debit Card,NO,NO
1630,104,2026-11-20,856.00,Debit Card,NO,NO
1631,104,2026-12-10,856.00,Debit Card,NO,NO
1632,106,2026-07-12,988.00,Credit Card,NO,NO
1633,107,2026-09-09,1000.00,Debit Card,YES,NO
1634,107,2026-10-09,1170.00,Debit Card,NO,NO
1635,107,2026-11-09,1170.00,Debit Card,NO,NO
1636,107,2026-12-09,1170.00,Debit Card,NO,NO
1637,108,2026-08-08,220.00,Debit Card,NO,NO
1638,108,2026-09-08,220.00,Debit Card,NO,NO
1639,109,2026-12-24,363.00,Credit Card,NO,NO
1640,109,2027-01-24,363.00,Credit Card,NO,NO
1641,109,2027-02-24,363.00,Credit Card,NO,NO
1642,110,2026-11-27,1131.00,Debit Card,NO,NO
1643,111,2026-03-17,174.00,Debit Card,NO,NO
1644,111,2026-04-17,174.00,Debit Card,NO,NO
1645,113,2026-05-05,75000.00,Credit Card,YES,NO
1646,113,2026-06-05,3714.00,Credit Card,NO,NO
1647,113,2026-07-05,3714.00,Credit Card,NO,NO
1648,115,2026-08-12,1049.00,Debit Card,NO,NO
1649,115,2026-09-12,1049.00,Debit Card,NO,NO
1650,116,2026-01-10,720.00,Credit Card,NO,NO
1651,116,2026-02-10,720.00,Credit Card,NO,NO
1652,116,2026-03-10,720.00,Credit Card,NO,NO
1653,119,2026-05-14,31995.00,Cash,NO,YES
1654,121,2026-06-01,46595.00,Cash,NO,YES
1655,125,2026-07-29,29318.00,Cash,NO,YES
