VEHICLE_ID,ENGINE_ID,FUEL_ID,WHEELS_ID,TIRES_ID,BRAKES_ID,STEERING_ID,SUSPENSION_ID,EXTERIOR_ID,INTERIOR_ID,CARGO_ID,WEIGHT_ID,EMISSIONS_ID,COST_ID
001,201,301,401,501,601,701,801,901,1001,1101,1201,1301,1401
002,202,302,402,502,602,702,802,902,1002,1102,1202,1302,1402
003,203,303,403,503,603,703,803,903,1003,1103,1203,1303,1403
004,204,304,404,504,604,704,804,904,1004,1104,1204,1304,1404
005,205,305,405,505,605,705,805,905,1005,1105,1205,1305,1405
006,206,306,406,506,606,706,806,906,1006,1106,1206,1306,1406
007,207,307,407,507,607,707,807,907,1007,1107,1207,1307,1407
008,208,308,408,508,608,708,808,908,1008,1108,1208,1308,1408
009,209,309,409,509,609,709,809,909,1009,1109,1209,1309,1409
010,210,310,410,510,610,710,810,910,1010,1110,1210,1310,1410
011,211,311,411,511,611,711,811,911,1011,1111,1211,1311,1411
012,212,312,412,512,612,712,812,912,1012,1112,1212,1312,1412
013,213,313,413,513,613,713,813,913,1013,1113,1213,1313,1413
014,214,314,414,514,614,714,814,914,1014,1114,1214,1314,1414
015,215,315,415,515,615,715,815,915,1015,1115,1215,1315,1415
016,216,316,416,516,616,716,816,916,1016,1116,1216,1316,1416
017,217,317,417,517,617,717,817,917,1017,1117,1217,1317,1417
018,218,318,418,518,618,718,818,918,1018,1118,1218,1318,1418
019,219,319,419,519,619,719,819,919,1019,1119,1219,1319,1419
020,220,320,420,520,620,720,820,920,1020,1120,1220,1320,1420
021,221,321,421,521,621,721,821,921,1021,1121,1221,1321,1421
022,222,322,422,522,622,722,822,922,1022,1122,1222,1322,1422
023,223,323,423,523,623,723,823,923,1023,1123,1223,1323,1423
024,224,324,424,524,624,724,824,924,1024,1124,1224,1324,1424
025,225,325,425,525,625,725,825,925,1025,1125,1225,1325,1425
026,226,326,426,526,626,726,826,926,1026,1126,1226,1326,1426
027,227,327,427,527,627,727,827,927,1027,1127,1227,1327,1427
028,228,328,428,528,628,728,828,928,1028,1128,1228,1328,1428
029,229,329,429,529,629,729,829,929,1029,1129,1229,1329,1429
030,230,330,430,530,630,730,830,930,1030,1130,1230,1330,1430
031,231,331,431,531,631,731,831,931,1031,1131,1231,1331,1431
032,232,332,432,532,632,732,832,932,1032,1132,1232,1332,1432
033,233,333,433,533,633,733,833,933,1033,1133,1233,1333,1433
034,234,334,434,534,634,734,834,934,1034,1134,1234,1334,1434
035,235,335,435,535,635,735,835,935,1035,1135,1235,1335,1435
036,236,336,436,536,636,736,836,936,1036,1136,1236,1336,1436
037,237,337,437,537,637,737,837,937,1037,1137,1237,1337,1437
038,238,338,438,538,638,738,838,938,1038,1138,1238,1338,1438
039,239,339,439,539,639,739,839,939,1039,1139,1239,1339,1439
040,240,340,440,540,640,740,840,940,1040,1140,1240,1340,1440
041,241,341,441,541,641,741,841,941,1041,1141,1241,1341,1441
042,242,342,442,542,642,742,842,942,1042,1142,1242,1342,1442
043,243,343,443,543,643,743,843,943,1043,1143,1243,1343,1443
044,244,344,444,544,644,744,844,944,1044,1144,1244,1344,1444
045,245,345,445,545,645,745,845,945,1045,1145,1245,1345,1445
046,246,346,446,546,646,746,846,946,1046,1146,1246,1346,1446
047,247,347,447,547,647,747,847,947,1047,1147,1247,1347,1447
048,248,348,448,548,648,748,848,948,1048,1148,1248,1348,1448
049,249,349,449,549,649,749,849,949,1049,1149,1249,1349,1449
050,250,350,450,550,650,750,850,950,1050,1150,1250,1350,1450
